iter	Passed	Remaining
0	101	20128
1	136	13481
2	169	11134
3	207	10172
4	241	9419
5	277	8988
6	303	8374
7	313	7528
8	323	6874
9	333	6340
10	344	5918
11	355	5568
12	364	5245
13	373	4967
14	382	4717
15	392	4510
16	401	4325
17	410	4150
18	420	4004
19	429	3865
20	437	3732
21	446	3612
22	456	3510
23	465	3414
24	474	3321
25	483	3234
26	491	3149
27	499	3070
28	507	2994
29	517	2935
30	526	2870
31	535	2810
32	544	2753
33	554	2705
34	561	2648
35	569	2592
36	576	2540
37	584	2489
38	594	2452
39	601	2406
40	608	2361
41	618	2327
42	626	2288
43	635	2252
44	642	2214
45	650	2176
46	658	2143
47	666	2109
48	673	2076
49	680	2042
50	689	2013
51	696	1982
52	703	1952
53	712	1926
54	721	1900
55	728	1874
56	736	1846
57	743	1819
58	750	1793
59	757	1767
60	766	1746
61	774	1724
62	783	1704
63	791	1681
64	798	1658
65	807	1639
66	815	1618
67	822	1596
68	829	1574
69	837	1555
70	844	1535
71	853	1517
72	860	1497
73	870	1481
74	877	1463
75	884	1443
76	892	1426
77	900	1407
78	908	1391
79	915	1373
80	923	1357
81	931	1340
82	939	1324
83	947	1309
84	956	1294
85	963	1277
86	972	1263
87	980	1247
88	989	1234
89	1000	1222
90	1008	1208
91	1018	1195
92	1027	1182
93	1037	1170
94	1045	1155
95	1055	1143
96	1063	1129
97	1072	1116
98	1082	1104
99	1091	1091
100	1101	1079
101	1110	1066
102	1119	1054
103	1128	1041
104	1139	1030
105	1149	1019
106	1157	1006
107	1166	993
108	1175	981
109	1183	968
110	1192	956
111	1201	944
112	1211	932
113	1221	921
114	1231	909
115	1239	897
116	1249	886
117	1257	874
118	1265	861
119	1274	849
120	1281	836
121	1289	824
122	1297	812
123	1305	800
124	1312	787
125	1321	775
126	1328	763
127	1337	752
128	1345	740
129	1354	729
130	1363	717
131	1370	706
132	1379	694
133	1386	682
134	1393	670
135	1402	659
136	1409	648
137	1416	636
138	1424	624
139	1431	613
140	1438	601
141	1445	590
142	1453	579
143	1462	568
144	1469	557
145	1478	546
146	1485	535
147	1493	524
148	1501	514
149	1510	503
150	1518	492
151	1525	481
152	1534	471
153	1543	461
154	1550	450
155	1559	439
156	1566	429
157	1573	418
158	1580	407
159	1587	396
160	1596	386
161	1605	376
162	1613	366
163	1619	355
164	1626	345
165	1633	334
166	1641	324
167	1649	314
168	1658	304
169	1667	294
170	1676	284
171	1685	274
172	1692	264
173	1702	254
174	1710	244
175	1717	234
176	1724	224
177	1732	214
178	1739	204
179	1746	194
180	1753	184
181	1760	174
182	1768	164
183	1776	154
184	1784	144
185	1792	134
186	1800	125
187	1807	115
188	1815	105
189	1822	95
190	1830	86
191	1837	76
192	1844	66
193	1854	57
194	1862	47
195	1870	38
196	1878	28
197	1886	19
198	1894	9
199	1902	0
