transaction_hash,wallet_address,event_id,transaction_type,status,timestamp,ticket_count,price_paid,original_event_price,markup_pct,ip_hash,is_resale,scalping_label,fraud_label,risk_score
0xf21f4ec6c69d4ea2a521248df1b1b3c4095ce5ba,0x4ac429ec22574039a5d1bbf8f8e3b18b,EVT_048,PURCHASE,SUCCESS,2025-11-26 20:05:23.645973,4,177.0,177,0.0,407e94601a5093b0c07491a7ab5f8533,False,0,0,0
0xd19086654ba747d49058bfac41f7fafebb46bee0,0xdc5c8632d1434698b31d21c1785a2d2b,EVT_048,PURCHASE,SUCCESS,2025-11-26 23:11:42.645973,4,177.0,177,0.0,557def97437f3f67d1a23c2d99dc567d,False,0,0,0
0x8052516fcb894a47ac836d1ffb7b38a2054ce335,0xfd8346ff63bf4c21a1bfc80cf5371c4d,EVT_048,PURCHASE_ATTEMPT,FAILED,2025-11-27 08:38:14.645973,19,177.0,177,0.0,42ce32d62dee24b45ef8ad78ec8899bf,False,1,1,100
0x26e39bc28f3145deb569b05223c5beb87d5f1258,0x1efe997d08934f5da015f235583378e2,EVT_048,PURCHASE,SUCCESS,2025-11-27 09:47:51.645973,3,177.0,177,0.0,913f97faef6556958336e219055b8338,False,0,0,0
0x4dc34bb2994247d793be6919664c7743df178d16,0x2961501270c44dd388b8f4e5bd092018,EVT_048,PURCHASE,SUCCESS,2025-11-27 10:02:02.645973,2,177.0,177,0.0,c9ad16f9ead132eceb4ea55b9b832e04,False,0,0,0
0x2ed9bd768f57497ea4d290f71be3b4eae463cb1a,0x89b917c438a7409eaf40533954b2014f,EVT_048,PURCHASE,SUCCESS,2025-11-27 10:30:17.645973,1,177.0,177,0.0,612e4b9e20cfa18fea24a422e3dbeeb0,False,0,0,0
0x75e3a4eb3bd8483d8d516219e87ad420c7f163c7,0xee3422de09304d489df68c6cb0615e74,EVT_048,PURCHASE,SUCCESS,2025-11-27 12:53:46.645973,4,177.0,177,0.0,338044e8c9b42c67b7d2f367fbfa04a4,False,0,0,0
0xd90950917f9e4adea87d6c6854f3927605ba9e67,0x3a5276a2e1bf42c3a637a3fafd917fb5,EVT_048,PURCHASE,SUCCESS,2025-11-27 15:33:02.645973,4,177.0,177,0.0,070ac8966ee85a4bffd48c18a52968c7,False,0,0,0
0x859f42da8a044b7c9f15859e33ce0a14894b4e2b,0x3055f5e9da7644209426a5c9d4e73cf1,EVT_048,PURCHASE,SUCCESS,2025-11-27 15:39:58.645973,1,177.0,177,0.0,418ff276af7f25b171e36d573572d858,False,0,0,0
0x10f2db951536457fbd0256107ee13c22af2441ed,0x852308c7cc8843e19fb4331a0456dc43,EVT_039,PURCHASE,SUCCESS,2025-11-27 20:59:56.640445,2,362.0,362,0.0,8e7bf778c395c00644581e89cc54e24b,False,0,0,0
